name,docks,bikeable_infrastructure,trips,lat,lon,trips_per_dock,nearest_dining_hall_m,nearest_amenity_m,nearest_park_m,count_amenities_275m,avg_dist_3_amenities_m,park_area_within_275m,park_area_within_550m,age,income,population,undergrad,grad,undergrad_percentage,grad_percentage,north_campus_area_within_275m,north_campus_area_within_550m,west_campus_area_within_275m,west_campus_area_within_550m,west_campus_area_within_825m,distance_to_ut_m,distance_to_west_campus_m,jobs_count_within_275m,jobs_count_within_550m,nearest_retail_m,count_retail_275m,count_retail_550m,avg_dist_3_retail_m
w_23rd_san_gabriel,11,3.0,27560,30.287119781194694,-97.74793884604874,2505.454545454545,869.415428098658,134.38635931655685,364.2576712023919,11,159.68954145275222,0.0,47279.94569431496,21.2,9000.0,895.0,544.0,25.0,0.6078212290502794,0.0279329608938547,0.0,0.0,237201.4795975765,840409.6980059016,1146346.9455853703,612.6693371913204,0.0,8,37,51.62539782866053,4,16,94.57019496659598
w_26th_nueces,13,3.0,32920,30.290682,-97.742902,2532.3076923076924,300.2944860217314,52.49423969396123,387.5507284230037,11,66.53011557537334,0.0,38448.88081534963,21.9,5287.0,1361.0,832.0,362.0,0.6113152094048494,0.2659808963997061,5959.080863766559,135587.16586798904,192973.596822434,590433.5280705416,1125362.6171655792,160.85201992996147,0.0,13,43,83.24458952214125,17,56,104.14218981871136
w_28th_rio_grande,7,3.0,23098,30.293155,-97.744154,3299.714285714286,512.525976024004,81.374554499431,213.60032318516105,8,150.45659730141057,10559.804299332276,98771.14246573568,21.9,5287.0,1361.0,832.0,362.0,0.6113152094048494,0.2659808963997061,14775.290588385247,175854.36007154346,226687.5461816596,635691.6874691003,1121568.1398127077,322.44589570921124,0.0,9,43,193.4073315736491,15,46,206.85062582736472
w_2nd_lavaca_at_city_hall,19,3.0,6136,30.26476,-97.746728,322.94736842105266,2240.614064254124,47.05766227566516,94.6761625061729,11,82.42753006610641,20855.89891136785,129319.80393607248,37.0,155363.0,758.0,0.0,31.0,0.0,0.0408970976253298,0.0,0.0,0.0,0.0,0.0,1576.0813726432516,1929.1525123216827,14,42,23.28021442724355,76,182,25.81118479879051
w_3rd_nueces,11,3.0,6744,30.266972,-97.749462,613.0909090909091,2156.7595055667493,62.235763197099416,70.55469502702341,15,76.44490060905738,27909.501295799502,133999.99417859525,42.2,195117.0,2119.0,0.0,125.0,0.0,0.0589900896649362,0.0,0.0,0.0,0.0,0.0,1574.627974087161,1773.9724780685362,14,49,14.248145488416508,48,178,26.90158438096487
w_3rd_west,11,3.0,7381,30.267756,-97.751763,671.0,2221.221980483056,91.92951628850572,76.807462566535,11,139.39281423210787,27036.287530879352,140762.36774684404,38.0,159952.0,3126.0,0.0,32.0,0.0,0.0102367242482405,0.0,0.0,0.0,0.0,0.0,1698.8774076509008,1755.1991815077452,14,42,25.79368493991709,37,133,45.848487089435814
w_4th_congress,15,3.0,5405,30.266343,-97.743817,360.3333333333333,1970.607678864196,52.218644147716965,331.13785806796835,9,113.86969553883152,0.0,41776.37014373588,31.6,220134.0,1046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1274.97166498438,1681.6823902650624,18,56,28.823709359544043,99,261,35.064971218485795
w_5th_bowie,15,3.0,6551,30.26921,-97.753495,436.73333333333335,2217.386204333418,47.59135312577303,79.4333832827638,10,60.39226313906522,8852.099303922974,128818.39861759447,38.0,159952.0,3126.0,0.0,32.0,0.0,0.0102367242482405,0.0,0.0,0.0,0.0,0.0,1763.141600186627,1609.054963168832,11,35,58.357670122584004,34,107,67.27763592981356
w_5th_campbell,15,3.0,3776,30.274782,-97.764786,251.7333333333333,2836.868502823984,77.73717502860568,265.89715306454906,17,89.03993888013356,83.30886690698222,116899.10321081446,32.1,183017.0,677.0,0.0,48.0,0.0,0.0709010339734121,0.0,0.0,0.0,0.0,0.0,2333.351920834809,1570.023371303946,5,15,35.794532940186215,16,19,38.132738705403305
w_7th_congress_(w_6th_congress),17,3.0,7929,30.268310763977247,-97.74287793292342,466.4117647058824,1734.1927894629414,118.82491710402904,378.92529061435886,5,150.60017265433396,0.0,20873.08362978396,37.1,130194.0,717.0,12.0,12.0,0.0167364016736401,0.0167364016736401,0.0,0.0,0.0,0.0,0.0,1041.863431205392,1449.3245460618812,17,65,10.061227759567837,81,246,30.319557570503328
w_6th_lavaca,7,2.0,1816,30.268949,-97.745223,259.42857142857144,1758.8045390815787,148.18274426434337,182.3063153461836,9,168.0522973784939,6369.3171992272455,20452.19239479804,37.1,130194.0,717.0,12.0,12.0,0.0167364016736401,0.0167364016736401,0.0,0.0,0.0,0.0,0.0,1126.9720776939832,1442.8870131647698,18,66,38.199669890169375,44,243,49.21034798712149
w_6th_west,15,2.0,2286,30.270466,-97.750461,152.4,1913.009779833845,119.29222107155611,72.12650498737928,7,149.73433335452702,16632.458014532283,70464.46391829345,37.1,130194.0,717.0,12.0,12.0,0.0167364016736401,0.0167364016736401,0.0,0.0,0.0,0.0,0.0,1439.796460854253,1431.4197594519876,14,52,13.136706391567742,39,121,19.65008659240085
w_8th_congress,11,3.0,2804,30.269793,-97.742239,254.9090909090909,1558.3439579154135,82.76251051598511,247.97124804503665,4,111.34797288623612,1180.20624818892,16524.021694086547,37.1,130194.0,717.0,12.0,12.0,0.0167364016736401,0.0167364016736401,0.0,0.0,0.0,0.0,0.0,871.0849384001461,1276.3603117868188,18,59,15.109930297651438,54,179,21.96253364536828
w_9th_henderson,11,2.0,3415,30.272176,-97.752456,310.45454545454544,1924.6510678539748,135.7599676272297,83.01415270173088,2,202.62258485148035,30047.98915234788,49690.6271448715,55.6,120469.0,783.0,0.0,48.0,0.0,0.0613026819923371,0.0,0.0,0.0,0.0,0.0,1484.0845135111445,1275.0851524296725,9,49,62.32526414554676,24,98,87.55269463576087
