name,total_docks,trips_per_dock,ebs_station,transit_nearby,nearest_transit_stop_dist_m,jobs_nearby,housing_nearby,low_income_access_score,amenities_nearby,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,entertainment_nearby,tourism_nearby,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,is_ut,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,lat,lon
e_5th_neches_downtown_station,15,294.6,0,-0.09267207805026602,-0.2655089849700295,-0.10998904284874846,1.172631845450263,1.0,-0.10374160381153133,-0.39593628305513434,0.1694449939781555,3.0,2.6692779217398113,3.1688363372399384,3.1108096722029943,0.27832050358381993,-0.12758018642189942,1.6410387350947269,-0.16445761351583132,0,-0.2408431481561425,-0.17727367651776174,-1.3450301993417235,-0.3092243265979277,30.265843991099903,-97.73891781267967
s_1st_riverside_long_center,15,289.6666666666667,0,1.6866318205148403,-0.9276199622051515,-0.42236896303809457,-0.5530842280661995,1.0,-0.6188723261860319,1.1453089972722508,-1.3775778064877795,3.0,-0.5929124795436105,-0.5422779906154418,-0.643016524421848,-0.7493377529430311,0.4465306524766477,0.12623374885344063,-0.5499820583318938,0,0.5712440376003027,0.6567542350258089,0.8568702981896665,-0.3092243265979277,30.259384,-97.749726
dean_keeton_park_place,15,288.8666666666667,0,1.2418058458735637,0.2105886833065821,3.42726433438382,-0.5530842280661995,2.0,-0.10374160381153133,-0.39593628305513434,1.484286831923411,3.0,-0.9303804520901714,-0.7742226361064031,-0.643016524421848,0.4948876177261816,-0.12758018642189942,-0.7393691004272943,-0.06364240897908865,1,-1.276976937780964,-1.4687071734989972,-1.1896019289277429,-0.08931432514961982,30.28931,-97.733037
w_11th_congress_the_texas_capitol,11,283.09090909090907,0,-1.4271500019740957,1.1048693932386435,-0.08925586230520778,-0.5530842280661995,1.0,-0.8764376873732822,-0.39593628305513434,1.0708344830286014,3.0,-0.48042315536142355,-0.5422779906154418,0.6082588744530996,-0.2610340784476835,1.0206414913751949,0.9918365981341756,-0.606915829872241,0,-0.8056231485028567,-0.7223703875518216,-1.3450301993417235,-0.3092243265979277,30.2726,-97.74127
veterans_atlanta_mopac_ped_bridge,19,280.7894736842105,0,-1.4271500019740957,1.1084479767246926,-0.6086220349209016,-0.5530842280661995,1.0,1.6992159244992207,0.590419060230599,-1.3867877139868652,3.0,-0.9303804520901714,-0.7742226361064031,-0.643016524421848,1.2703826744213553,-1.2758018642189937,-1.3885712373878456,1.0218854491003944,0,0.909510618126669,0.7534643627307098,0.8568702981896665,-0.3092243265979277,30.274475,-97.769892
hollow_creek_barton_hills,11,277.0,0,-1.4271500019740957,4.47918149131876,-0.6041298458031344,-0.5530842280661995,1.0,0.4113891185629692,1.2386580726915508,-1.2213584425528525,2.0,-0.9303804520901714,-0.7742226361064031,-0.643016524421848,0.13894046073217178,-0.12758018642189942,-1.1721705250676617,0.060338224083967024,0,1.616740353475113,1.5376507984501255,0.8568702981896665,-0.3092243265979277,30.26139,-97.77234
south_congress_mary,11,271.72727272727275,0,-0.5374980526915426,-0.9272548006249425,-0.4439660261042828,-0.5530842280661995,1.0,0.4113891185629692,-0.39593628305513434,1.4599329365832636,3.0,0.08202346554951126,-0.3103333451244806,-0.643016524421848,1.0366720259298676,-1.2758018642189937,-1.1721705250676617,1.1282951895478766,0,1.8465025770131867,1.9489201668916523,-1.3450301993417235,-0.3092243265979277,30.244961,-97.751272
zilker_park,15,262.6,0,-0.5374980526915426,-0.7397078130295539,-0.5998104331898969,-0.5530842280661995,1.0,-1.3915684097477827,4.856726495947728,-1.3889626484108473,3.0,-0.8741357899990779,-0.7742226361064031,0.6082588744530996,0.1180618582145199,-0.7016910253204465,-0.9557698127474781,0.19479097825848574,0,1.1160478050218317,1.0201424680696318,0.8568702981896665,-0.3092243265979277,30.2659,-97.76822
w_6th_lavaca,7,259.42857142857144,0,3.02110974443867,-0.7259047052976503,1.5042618389704223,-0.5530842280661995,1.0,0.4113891185629692,-0.39593628305513434,-0.09229896608332032,2.0,0.9256933969159135,1.467908936972889,0.6082588744530996,-0.7480784666038818,1.0206414913751949,2.073840159735094,-0.8391571870117741,0,-0.3667360694629415,-0.2854227137440395,0.8568702981896665,-0.3092243265979277,30.268887,-97.745242
w_8th_congress,11,254.9090909090909,0,0.35215389659101054,-0.8964351632552953,3.86058780774382,-0.5530842280661995,1.0,-0.3613069649987816,-0.39593628305513434,0.8151051564359161,3.0,1.3756506936446613,1.1586494096516073,0.6082588744530996,-0.7900030123984574,2.7429740080708362,1.8574394474149105,-0.8179889705875586,0,-0.5479795066257878,-0.4669803963168572,-1.3450301993417235,-0.3092243265979277,30.2698,-97.74186
barton_springs_kinney,11,252.1818181818182,0,-0.09267207805026602,-0.5360206835889234,-0.46711807771123653,-0.5530842280661995,1.0,0.6689544797502195,-0.38049991162755376,-0.6724962874834406,3.0,-0.08671052072376918,0.23087082768776232,-0.643016524421848,1.4926068307331724,-1.2758018642189937,-0.7393691004272943,1.1980609450729802,0,0.9021883690473305,0.8692177974354172,0.8568702981896665,-0.3092243265979277,30.262,-97.76118
w_5th_campbell,15,251.7333333333333,0,0.35215389659101054,-0.8759130824475445,-0.31369254168903554,-0.5530842280661995,1.0,2.7294773692482215,-0.39593628305513434,-0.6410537169836469,3.0,-0.14295518281486266,-0.387648226954801,-0.643016524421848,1.3068295819585223,-1.2758018642189937,-1.3885712373878456,1.7141624681835468,0,0.516149445013048,0.3629760389563927,0.8568702981896665,-0.3092243265979277,30.27489,-97.76483
