id,name,district,total_docks,trips_per_dock,ebs_station,is_ut,lat,lon,transit_nearby,nearest_transit_stop_dist_m,avg_dist_3_nearest_transit_stops_m,jobs_nearby_275m,housing_nearby_275m,housing_nearby_1000m,job_housing_ratio_275m,low_income_access_score,amenities_nearby,avg_dist_3_nearest_amenities_m,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,avg_dist_3_nearest_retail_m,entertainment_nearby,avg_dist_3_nearest_entertainment_m,tourism_nearby,avg_dist_3_nearest_tourism_m,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,min_dist_to_ut_hotspot_m,avg_dist_3_nearest_ut_hotspot_m,ut_hotspot_within_300m,ut_hotspot_within_500m,min_dist_to_wampus_hotspot_m,avg_dist_3_nearest_wampus_hotspot_m,wampus_hotspot_within_300m,wampus_hotspot_within_500m,dist_to_west_campus_center_m,ut_x_dorm_pop_500m,ut_x_dining_dist,ut_x_transit,ut_x_housing_275m,ut_x_ut_hotspots_300m,ut_x_wampus_hotspots_300m
76,zilker_park,8,15,262.6,0,0,30.2659,-97.76822,2,36.19,202.84,51.0,0.0,2148,51.0,1.0,0,356.81,0,3405513.4,3.0,1,345.93,0,591.22,1,348.88,376.41,1.0,4.0,547.16,4132.72,3749.72,980.0,0.0,3987.53,4041.89,0,0,3554.3,3633.21,0,0,3715.75,0.0,0.0,0,0.0,0,0
28,w_6th_lavaca,9,7,259.42857142857144,0,0,30.268887,-97.745242,10,38.08,77.06,12229.0,0.0,4559,12229.0,1.0,7,190.87,0,3406264.22,2.0,33,50.17,29,50.17,1,341.01,238.24,4.0,18.0,294.82,2046.93,1931.57,980.0,0.0,1955.81,2000.35,0,0,1949.27,2113.71,0,0,2540.66,0.0,0.0,0,0.0,0,0
31,w_8th_congress,9,11,254.9090909090909,0,0,30.2698,-97.74186,4,14.73,153.97,25867.0,0.0,4559,25867.0,1.0,4,129.12,0,3406426.34,3.0,41,17.64,25,20.13,1,329.53,231.56,7.0,17.0,299.99,1791.98,1678.73,130.0,0.0,1705.64,1733.87,0,0,1844.6,2004.89,0,0,2490.94,0.0,0.0,0,0.0,0,0
38,barton_springs_kinney,9,11,252.1818181818182,0,0,30.262,-97.76118,3,64.08,139.82,819.0,0.0,2427,819.0,1.0,8,126.77,0,3405219.56,3.0,15,55.46,13,55.46,0,896.07,595.67,0.0,5.0,792.02,3831.89,3539.54,980.0,0.0,3704.07,3804.75,0,0,3411.12,3536.84,0,0,3739.93,0.0,0.0,0,0.0,0,0
25,w_5th_campbell,9,15,251.7333333333333,0,0,30.27489,-97.76483,4,17.54,135.72,1707.0,0.0,1647,1707.0,1.0,16,107.87,0,3406553.9,3.0,14,51.87,5,53.71,0,924.61,566.03,0.0,2.0,917.98,3288.86,2834.54,980.0,0.0,3050.09,3104.96,0,0,2586.94,2602.42,0,0,2607.63,0.0,0.0,0,0.0,0,0
49,e_5th_broadway,3,15,239.53333333333333,0,0,30.2563,-97.71007,2,151.73,252.06,691.0,1122.0,3242,0.6158645276292335,2.0,3,184.69,0,3405551.27,3.0,4,133.18,0,466.5,0,536.65,622.94,0.0,2.0,963.5,4550.98,4185.79,900.0,0.0,3963.75,4170.47,0,0,5204.4,5306.26,0,0,5881.12,0.0,0.0,0,0.0,0,0
45,e_11th_san_marcos,1,11,239.1818181818182,0,0,30.26968,-97.73074,3,60.4,84.76,511.0,0.0,2224,511.0,2.0,8,124.59,0,3406620.2,2.0,7,101.74,2,219.86,3,193.68,271.3,1.0,9.0,496.82,1845.75,1579.55,900.0,0.0,1475.72,1610.22,0,0,2368.93,2489.46,0,0,3060.44,0.0,0.0,0,0.0,0,0
73,south_congress_james,9,7,222.28571428571428,0,0,30.25103,-97.74926,2,83.17,189.85,1157.0,0.0,3776,1157.0,1.0,4,119.2,0,3404247.68,3.0,19,29.26,9,41.35,0,1068.78,177.62,2.0,5.0,336.54,4347.42,4231.68,130.0,0.0,4239.89,4280.89,0,0,4285.12,4449.65,0,0,4833.57,0.0,0.0,0,0.0,0,0
39,barton_springs_azie_morton,9,15,221.86666666666667,1,0,30.261881964956064,-97.76897665654796,0,530.13,565.22,40.0,0.0,1998,40.0,1.0,6,107.53,0,3405062.39,2.0,1,273.55,0,628.68,0,468.75,379.74,2.0,4.0,441.65,4497.42,4145.88,980.0,0.0,4358.16,4434.54,0,0,3971.63,4065.13,0,0,4181.86,0.0,0.0,0,0.0,0,0
69,south_congress_bouldin_creek,9,15,220.8,0,0,30.25495,-97.74755,4,53.32,115.12,1790.0,0.0,2083,1790.0,1.0,2,264.48,0,3404705.74,3.0,10,110.21,3,219.89,0,864.19,363.76,3.0,8.0,408.59,3807.98,3691.84,130.0,0.0,3700.8,3741.89,0,0,3760.97,3925.55,0,0,4324.43,0.0,0.0,0,0.0,0,0
