docks,trips_per_dock,nearest_amenity_m,nearest_park_m,count_amenities_275m,avg_dist_3_amenities_m,park_area_within_275m,park_area_within_550m,median_age,median_income,population_density,undergrad_percentage,grad_percentage,west_campus_area_within_550m,distance_to_west_campus_m,distance_to_ut_m,jobs_count_within_275m,jobs_count_within_550m,nearest_retail_m,avg_dist_3_retail_m,nearest_bikeshare_station_m,avg_dist_3_stations,bikeshare_station_count_within_275m,bikeshare_station_count_within_550m,nearest_transit_stop_distance_m,count_transit_stop_275m,count_transit_stop_550m
11,569.3636363636364,105.85670255129104,7.990222806419371,1,226.1373300215647,76543.35975977912,205509.69881690628,36.0,106250.0,0.0009778137130276,0.0,0.0,0.0,3262.140582079868,2537.0531643490995,3,12,259.4421603055211,325.03698575765304,672.4382141432958,999.4933635106504,0,0,146.28668423951865,2,12
15,113.53333333333332,211.3408403448419,159.06311238248108,3,235.39805767854173,14549.49105556255,131245.1278641172,35.8,124453.0,0.0010630451219872,0.0056224899598393,0.0208835341365461,0.0,2745.0635779369422,2357.6159895487344,3,11,151.53477421012153,161.4975381363351,204.8375093781678,271.9067440069832,1,4,117.62836041372384,9,18
15,502.8,51.14922519675374,150.56527519323478,7,91.21403739310404,3929.466809238911,8771.50097090922,35.5,80250.0,0.00237189699513,0.0151041666666666,0.0140625,0.0,2423.418858989646,1469.0536902649144,13,41,52.08475313283485,58.02552372065219,307.27284714701415,427.6416518723516,0,3,21.36906683161205,3,16
19,800.2631578947369,34.433029771095214,0.0,6,68.6577267981184,43957.79830491936,126397.23324458476,46.2,166721.0,0.0050224890179059,0.0,0.0,0.0,2790.8746596379547,2230.0310541003537,2,11,40.785900280028144,77.21398116814103,567.3573791909247,640.0569339458816,0,0,438.4631535936716,0,8
11,444.45454545454544,87.22897822912753,170.40941526024525,9,96.89130644022632,26023.780711211177,100280.25988833194,46.2,166721.0,0.0050224890179059,0.0,0.0,0.0,2257.902053501012,1662.742672697093,5,26,14.177838286763832,23.029176898534537,567.3573791909247,645.9594008993766,0,0,92.78220110726087,2,8
19,582.3684210526316,82.75371455757899,8.719947695397217,12,94.47036630259784,95505.01714953102,378764.6600160129,35.3,148333.0,0.0033778257964621,0.0,0.034717494894486,0.0,2178.439526136734,2265.851016887136,2,15,66.36102122687196,86.98384683271715,329.31874179474903,481.3475362965284,0,2,211.5828671437048,1,10
11,104.8181818181818,31.48668689125061,8.23650874854116,14,84.6792139948255,44067.48033963734,63176.63392816914,36.7,111504.0,0.0018334001273331,0.009068425391591,0.0230832646331409,0.0,2011.0465620377663,964.6730207173752,6,26,31.586582622982725,35.7788172825705,385.4359580989908,465.4818748628338,0,2,15.507122702817712,3,20
15,289.6666666666667,139.40667540669654,4.240899002848918,3,150.1149266971815,77934.09533232806,224934.81957022616,35.8,124453.0,0.0010630451219872,0.0056224899598393,0.0208835341365461,0.0,2585.356954219777,2230.429983848853,3,10,136.85093537145568,149.47661715813706,204.8375093781678,303.2809101986754,1,4,9.025624459380438,7,17
15,220.8,173.1815093240519,376.0014408305018,2,232.31400549026827,0.0,17981.703767680545,33.3,166071.0,0.0022449472708682,0.014329580348004,0.0419651995905834,0.0,2986.6639866624146,2560.034436311362,2,14,77.63062570010251,98.1094811473152,321.3498343619753,359.9254866949004,0,5,39.84653088039577,5,19
11,189.72727272727272,49.87377354009395,194.34966592731035,6,78.08034894085084,3434.7712589136777,8099.720278645673,36.3,124453.0,0.0029462210579559,0.0036250647332988,0.0113930605903676,0.0,3315.6043776264028,2890.6292347244853,6,21,40.13188234369528,105.6081700901307,138.12412334235677,286.5713526532068,1,3,22.58936913975801,2,13
11,363.8181818181818,200.67325260765665,340.5980754965019,2,228.7543996582237,0.0,136152.25393230337,34.5,123889.0,0.0015698732911881,0.0,0.0,0.0,2559.979942098053,2134.8228206240865,3,7,49.946654743128406,56.04811718467271,289.53288828080645,354.3295556094293,0,4,238.3313311802113,1,14
11,178.63636363636363,269.26237095972374,349.6401287931837,1,313.0379545686636,0.0,6150.405194495338,36.3,152467.0,0.0029462210579559,0.0036250647332988,0.0113930605903676,0.0,3704.929326071941,3280.9397918187788,14,36,26.6857503497564,41.51621427188755,252.74035799544595,366.4171068245492,1,3,40.17762279893083,2,7
7,222.28571428571428,95.10479905407898,234.2416881039672,5,101.10415525889616,4886.057764408555,9944.157557424593,36.3,152467.0,0.0029462210579559,0.0036250647332988,0.0113930605903676,0.0,3453.528191380311,3028.282872603494,8,28,15.07853221963494,25.54925782573898,138.12412334235677,286.5784846088319,2,3,69.79120087342179,3,8
11,271.72727272727275,86.95081609992621,390.8513071099151,9,112.82631492744598,0.0,276.98635599764185,38.0,152467.0,0.002073946111142,0.036624203821656,0.0119426751592356,0.0,4160.505471712355,3731.8835704763433,10,43,45.83515628076948,51.67792843500139,455.7762642483169,669.3664092922667,0,1,15.777440216137965,2,8
19,280.7894736842105,53.38655077152716,0.8110722084353978,12,65.77916181767304,68181.76249090303,307071.9965664722,32.1,183017.0,0.0006441329651567,0.0,0.0709010339734121,0.0,1993.7046167318413,2809.5460078720253,0,11,405.8587790846918,421.6456489625164,484.5036894989606,647.0991573668474,0,2,249.5172940210952,1,5
11,283.09090909090907,225.21404245419524,48.73643295676541,5,232.20856697504183,1262.3164002773492,30199.920688027458,37.1,130194.0,0.0011550061296521,0.0167364016736401,0.0167364016736401,0.0,959.0436639040704,572.635671008886,10,49,64.05133714292779,81.59600792356949,318.38276460538054,319.325618091939,0,6,244.016661605017,2,24
11,380.45454545454544,141.02803466544012,469.89276843512783,5,184.92389445223347,0.0,7903.035271272207,44.4,98706.0,0.0007278098209757,0.0978723404255319,0.1225531914893617,148137.46674529233,293.5557514270976,333.04429748278767,17,53,101.84872388289358,132.2826073232985,533.1591762192762,619.5468487624995,0,1,109.417408992197,6,10
11,1966.0,51.54577247951919,871.1585221748392,19,59.137809305661136,0.0,0.0,19.9,22132.0,0.0198625990033168,0.731943031536114,0.0457782299084435,399439.2108091908,0.0,13.883666644336074,12,46,46.45932405344606,54.17159003480421,186.96507859063288,273.6956685287839,2,6,67.5281841213127,7,10
19,1332.3157894736842,65.18331054753669,899.3447486905479,10,93.20646568114005,0.0,0.0,19.4,10625.0,0.0090489983491804,0.988296332046332,0.0107384169884169,226327.6708937724,1.7856313079680854,0.0,6,35,167.87035580759414,177.58899006469122,221.4934793825922,261.11460040879143,2,3,7.70996996059221,4,13
5,2588.4,83.24865192031746,645.6517436127667,21,102.02919907288596,0.0,0.0,21.3,8761.0,0.0130639360079938,0.7681281618887015,0.0607082630691399,742822.517669139,0.0,341.8441008163022,12,45,23.081112487275508,46.38517706809634,165.25905469939542,260.5089498589862,1,5,171.67280130925568,1,11
23,1062.1304347826087,148.80631841848577,541.370620248068,18,168.0609004814375,0.0,575.6043155249369,21.3,8761.0,0.0130639360079938,0.7681281618887015,0.0607082630691399,727676.9649572074,0.0,474.9699162216838,10,44,142.82423589066056,172.9169739194104,165.25905469939542,287.6392378637847,2,4,11.01876186319277,2,8
