id,Active Date,name,Districts,total Checkouts,total Docks,trips per dock,trips per dock/day,EBS STATION,Checkouts Rankings; per day >5=3; 2-5=2; <1=1 ,Co-locate to Transit (at transit =3; <1/4 mi = 2; >1/4 mi = 1),Access to Jobs (Major employment hubs)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to Households  (1/4 mi = 3; 1/2 mi = 2;  >1/2 = 1),Access to low income residents (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),"Access to Public amenities (libraries, schools, Rec Centers, parks)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1)",Bikeable infrastructure (rider saftey)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to retail or entertainment  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to existing Bikeshare footprint - 1/4 mi = 3; 1/2 mi = 2; >1/2 = 1,Total Score,name_clean,Kiosk ID,Kiosk Name,Kiosk Status,Location,Address,Alternate Name,City Asset Number,Property Type,Number of Docks,Power Type,Footprint Length,Footprint Width,Notes,Council District,Image,Modified Date,lat,lon,on_UT
58.0,2024-11-14,Lakeshore/Lady Bird Ln.,3.0,3865.0,11,351.3636363636364,0.976010101010101,,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,18.0,lady bird/lakeshore,,,,,,,,,,,,,,,,,30.24478312140979,-97.72319224423872,0
59.0,2024-07-30,Lakeshore/Pleasant Valley,3.0,4573.0,15,304.8666666666667,0.8468518518518519,,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,19.0,lakeshore/pleasant valley,4062.0,Lakeshore & Pleasant Valley,active,"(30.24258, -97.71726)",2525 South Lakeshore Boulevard,,"32,711",nonmetered_parking,18.0,solar,55.0,5.0,,3.0,,2021 Jan 04 12:00:00 AM,30.24258,-97.71726,0
60.0,2024-08-01,Nash Hernandez/East @ RBJ South,3.0,4261.0,11,387.3636363636364,1.076010101010101,,2.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,23.0,nash hernandez/rbj,4059.0,Nash Hernandez @ RBJ South,active,"(30.252, -97.7346)",1316 Festival Beach Rd,,"32,693",nonmetered_parking,13.0,solar,40.0,5.0,,3.0,,2021 Jan 04 12:00:00 AM,30.252,-97.7346,0
61.0,2024-07-24,One Texas Center,9.0,1023.0,15,68.2,0.18944444444444444,,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,17.0,one texas,,,,,,,,,,,,,,,,,30.257653,-97.74898,0
62.0,2024-07-26,Plaza Saltillo	,3.0,5294.0,15,352.93333333333334,0.9803703703703703,,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,21.0,plaza saltillo,2542.0,Plaza Saltillo,active,"(30.26217, -97.72743)",1501 E. 5th St.,,"16,746",sidewalk,12.0,solar,40.0,5.0,on station plaza,3.0,,2021 Jan 04 12:00:00 AM,30.26217,-97.72743,0
63.0,2024-07-24,Rainey/Cummings	,9.0,10327.0,19,543.5263157894736,1.5097953216374267,,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,24.0,cummings/rainey,2707.0,Rainey St @ Cummings,active,"(30.255906, -97.739949)",1 Rainey St,,"16,597",parkland,17.0,solar,50.0,5.0,parkland at ROW/easement,9.0,,2022 Mar 04 10:38:00 AM,30.255906,-97.739949,0
64.0,2024-07-24,Rainey/Driskill,9.0,3260.0,11,296.3636363636364,0.8232323232323233,,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,20.0,driskill/rainey,2563.0,Rainey/Driskill,active,"(30.260814, -97.738086)",698 Davis St,,"16,751",paid_parking,12.0,non-metered,40.0,5.0,,9.0,,2022 Mar 04 08:26:00 AM,30.260814,-97.738086,0
66.0,2024-07-24,Riverside/South Lamar,9.0,7480.0,19,393.6842105263158,1.0935672514619883,,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,25.0,lamar/riverside,2575.0,Riverside @ S. Lamar,active,"(30.26446, -97.75665)",Presented by Austin Parks Foundation,,"16,736",parkland,15.0,solar,45.0,5.0,parkland at ROW/easement,5.0,,2021 Jan 04 12:00:00 AM,30.26446,-97.75665,0
67.0,2024-07-26,Rosewood/Angelina,1.0,801.0,11,72.81818181818181,0.20227272727272727,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,angelina/rosewood,4052.0,Rosewood & Angelina,active,"(30.26888, -97.72431)",1153 Angelina Street,,"32,687",nonmetered_parking,13.0,solar,40.0,5.0,,1.0,,2021 Jan 04 12:00:00 AM,30.26888,-97.72431,0
68.0,2024-07-24,S 1st/Riverside @ Long Center,9.0,2947.0,15,196.46666666666667,0.5457407407407407,,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,22.0,1/riverside,,,,,,,,,,,,,,,,,30.259384,-97.749726,0
