total_docks,trips_per_dock,ebs_station,transit_nearby,jobs_nearby,housing_nearby,low_income_access_score,amenities_nearby,park_area_nearby,bike_infra_score,retail_nearby,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_dist_3_nearest_m,is_ut,lat,lon
19,393.6842105263158,0,-0.9823240273328191,-0.18169129222849326,-0.5530842280661996,1.0,1.1840852021247201,1.489050634183984,3.0,-0.48042315536142355,0.21963922291701968,-0.7016910253204465,-0.5229683881071107,0.23506886133375043,0,30.26446,-97.75665
11,72.81818181818181,0,-0.5374980526915426,-0.5858155363230068,0.6390590919089568,2.0,-0.10374160381153133,-0.39593628305513434,2.0,-0.4241784932703301,0.6227309274768144,-0.12758018642189942,-0.5229683881071107,0.19200225557279435,0,30.26888,-97.72431
15,196.46666666666667,0,1.6866318205148403,-0.4223689630380945,-0.5530842280661996,1.0,-0.6188723261860319,1.1453089972722508,3.0,-0.5929124795436105,-0.7493377529430311,0.4465306524766477,0.12623374885344066,-0.5499820583318933,0,30.259384,-97.749726
15,148.46666666666667,0,0.35215389659101054,-0.29935209181308653,-0.5530842280661996,1.0,-0.8764376873732822,-0.39593628305513434,3.0,-0.36793383117923656,0.038781946358961504,0.4465306524766477,-0.09016696346674312,-0.3729836623681027,0,30.25495,-97.74755
11,143.27272727272728,0,-0.5374980526915426,-0.2416447393002317,-0.5530842280661996,1.0,0.15382375737571893,-0.39593628305513434,3.0,-0.19919984490595613,-1.1281253319938982,0.4465306524766477,-0.3065676757869269,-0.6669692997525791,0,30.25226,-97.74854
11,247.9090909090909,0,-1.4271500019740957,0.028750490288444543,0.24540926324736367,1.0,-1.3915684097477827,-0.39593628305513434,3.0,-0.2554445069970496,-0.024708260373638026,0.4465306524766477,0.34263446117362445,-0.3053766013860834,0,30.25839,-97.74592
11,128.27272727272728,0,-0.5374980526915426,-0.3850492380597213,-0.5530842280661996,1.0,-1.3915684097477827,-0.39593628305513434,3.0,0.19451278973169822,-0.4101088284827569,-0.12758018642189942,-0.9557698127474782,-0.2931331586537089,0,30.24891,-97.75019
7,161.42857142857142,0,-0.5374980526915426,-0.4087196191802636,-0.5530842280661996,1.0,-0.3613069649987816,-0.39593628305513434,3.0,0.13826812764060473,-1.1281253319938982,-0.12758018642189942,-0.7393691004272944,-0.6682172387150623,0,30.25103,-97.74926
11,192.72727272727272,0,-0.5374980526915426,-0.4439660261042827,-0.5530842280661996,1.0,0.4113891185629692,-0.39593628305513434,3.0,0.08202346554951126,1.0366720259298676,-1.2758018642189937,-1.172170525067662,1.1282951895478768,0,30.244961,-97.751272
19,186.42105263157896,0,-1.4271500019740957,-0.6086220349209015,-0.5530842280661996,1.0,1.6992159244992207,0.590419060230599,3.0,-0.9303804520901714,1.2703826744213553,-1.2758018642189937,-1.3885712373878458,1.0218854491003946,0,30.274475,-97.769892
11,198.0909090909091,0,-1.4271500019740957,-0.08925586230520777,-0.5530842280661996,1.0,-0.8764376873732822,-0.39593628305513434,3.0,-0.48042315536142355,-0.2610340784476835,1.0206414913751949,0.9918365981341758,-0.6069158298722405,0,30.2726,-97.74127
11,254.8181818181818,0,0.35215389659101054,0.12550533282496767,-0.5530842280661996,1.0,-0.10374160381153133,-0.39593628305513434,2.0,-0.5929124795436105,1.751519089764762,-1.2758018642189937,-0.09016696346674312,0.9643837699487918,0,30.27924,-97.74371
11,1321.2727272727273,0,0.7969798712322871,-0.3247502379789239,0.6670436768848994,2.0,2.471912008060971,-0.39593628305513434,3.0,0.30700211391388516,-0.8502573473038467,0.4465306524766477,0.5590351734938083,-0.7395389997755544,1,30.28395,-97.74198
19,833.4736842105264,0,-0.09267207805026602,-0.5205060176108537,-0.5530842280661996,2.0,-0.10374160381153133,-0.39593628305513434,3.0,-0.48042315536142355,-0.7592761945260684,0.4465306524766477,0.34263446117362445,-0.8367114680311024,1,30.28354,-97.73953
5,1723.8,0,-0.9823240273328191,-0.4740291378924167,1.8685151918520368,2.0,3.502173452809972,-0.39593628305513434,3.0,-0.4241784932703301,-0.9439279438127848,1.0206414913751949,0.34263446117362445,-0.7901395048393198,1,30.2862,-97.74516
23,809.1578947368421,0,-0.5374980526915426,-0.4781757740011248,1.0588278665480966,2.0,0.9265198409374698,-0.39593628305513434,3.0,-0.649157141634704,-0.9439279438127848,-0.12758018642189942,-0.09016696346674312,-0.609660432696234,1,30.2853,-97.7467
11,1692.8181818181818,0,-0.9823240273328191,-0.501155049103549,0.39466038311905777,2.0,1.4416505633119703,-0.39593628305513434,3.0,-0.7054018037257974,-0.37894695826613245,-0.12758018642189942,-0.3065676757869269,-0.24751324281957507,1,30.2874,-97.7478
13,1705.3076923076924,0,0.7969798712322871,-0.5241343242059733,1.4114336372449738,2.0,1.1840852021247201,-0.39593628305513434,3.0,-0.19919984490595613,-0.35111392370672917,-0.12758018642189942,0.12623374885344066,-0.27507011410799154,1,30.29068,-97.74292
7,2243.5714285714284,0,-0.5374980526915426,-0.4961445304721934,0.9599489996330992,2.0,-0.10374160381153133,-0.17099048020013305,3.0,-0.4241784932703301,0.05802815185183768,-0.7016910253204465,-0.7393691004272944,0.4778115094543861,1,30.29333,-97.74412
19,223.47368421052636,0,0.7969798712322871,0.786893792163915,0.5010018060276398,1.0,1.1840852021247201,-0.39593628305513434,3.0,2.7255225838309047,-0.5799494889276224,1.0206414913751949,1.857439447414911,-0.6454363499597215,0,30.26476,-97.74678
11,415.7272727272728,0,0.35215389659101054,0.24696721550921008,2.2453742695280643,1.0,1.4416505633119703,-0.04947058059735741,3.0,1.4881400178268482,-0.3072124835869158,0.4465306524766477,1.4246380227745434,-0.44959297610117327,0,30.26697,-97.74929
11,479.9090909090909,0,-0.09267207805026602,-0.12519337524734492,-0.5530842280661996,1.0,1.1840852021247201,0.07782965321287667,3.0,0.5882254243693525,-0.47775004293752643,1.0206414913751949,0.5590351734938083,-0.7774909024660865,0,30.2678,-97.75189
15,236.6,0,-0.5374980526915426,2.3717726682130698,0.7286097638319733,1.0,0.6689544797502195,-0.39593628305513434,3.0,3.5691925151973067,-0.5897389463530073,2.168863169172289,1.641038735094727,-0.7874568502803498,0,30.26634,-97.74378
15,299.2,0,0.35215389659101054,0.6372693392413632,3.7714669702161365,1.0,0.15382375737571893,-0.2132024227266303,3.0,0.3632467760049787,-0.47775004293752643,1.0206414913751949,-0.09016696346674312,-0.7343051974289416,0,30.2696,-97.75332
15,171.13333333333333,0,0.35215389659101054,-0.31369254168903554,-0.5530842280661996,1.0,2.7294773692482215,-0.39593628305513434,3.0,-0.14295518281486266,1.3068295819585223,-1.2758018642189937,-1.3885712373878458,1.7141624681835472,0,30.27489,-97.76483
