count,lat,lon
519,30.2935356,-97.8112498
439,30.2744708,-97.7861878
790,30.2786148,-97.7998997
844,30.2494198,-97.8896082
1315,30.2462086,-97.871677
770,30.2654477,-97.8977772
1062,30.2832128,-97.8826267
721,30.2944105,-97.8695853
1019,30.2406956,-97.7937192
404,30.250589,-97.7900043
1220,30.2600636,-97.7778863
655,30.2522502,-97.7806429
987,30.2239737,-97.783038
343,30.2209436,-97.7891755
702,30.2192206,-97.7781233
932,30.2191547,-97.7700294
537,30.232703,-97.7888007
1148,30.2395848,-97.784876
397,30.2351783,-97.7903521
654,30.2305719,-97.7797172
615,30.2350232,-97.7761059
524,30.2437223,-97.7790841
866,30.2350554,-97.7825504
659,30.3172502,-97.6946194
549,30.3114555,-97.6991172
513,30.3085319,-97.7034163
430,30.3167562,-97.7105296
326,30.3192233,-97.6998724
1133,30.3169564,-97.7053727
289,30.3113948,-97.6890435
452,30.3036944,-97.6866421
565,30.3057436,-97.6934095
302,30.2896637,-97.6883221
522,30.2959769,-97.6810896
451,30.3007794,-97.6789798
486,30.3052266,-97.6749459
1478,30.2942939,-97.6707605
627,30.3061369,-97.6639016
296,30.2827105,-97.6997804
568,30.2795723,-97.6914013
896,30.2830113,-97.679436
524,30.2689593,-97.6846525
342,30.2780303,-97.6724415
769,30.271753,-97.6795484
698,30.2682835,-97.6923533
579,30.2532607,-97.6940465
1219,30.2582833,-97.6793314
773,30.3179053,-97.68751
824,30.3178309,-97.6828643
766,30.3097326,-97.6800953
451,30.3152285,-97.6678066
413,30.3144843,-97.6755752
454,30.3207132,-97.6732562
490,30.3198427,-97.6546082
389,30.3072252,-97.6550924
1960,30.2742994,-97.6192562
190,30.2919891,-97.6465946
1107,30.2859358,-97.6420721
430,30.2890279,-97.6351288
416,30.2936767,-97.657363
191,30.2901644,-97.6508131
260,30.2763965,-97.6536056
189,30.2587525,-97.5700348
1290,30.2627215,-97.5917232
1861,30.2423658,-97.6171675
2314,30.2224933,-97.5571211
1008,30.3388855,-97.4539167
1290,30.343797,-97.5332113
325,30.3338759,-97.5319829
1284,30.3176285,-97.5278648
297,30.3099267,-97.470676
992,30.270174,-97.5339014
840,30.3104028,-97.5907723
725,30.2713115,-97.4775219
378,30.2910849,-97.4955826
1051,30.3169719,-97.6396062
1088,30.3203582,-97.6171415
903,30.3026235,-97.6360779
367,30.2974782,-97.6292814
1082,30.2442403,-97.7278838
519,30.247332,-97.731847
1167,30.2416695,-97.7204469
866,30.2222661,-97.7395811
1129,30.2216188,-97.7455143
252,30.2190531,-97.736105
555,30.2302088,-97.7396708
408,30.2133021,-97.6534621
766,30.2423539,-97.6592003
1244,30.2183867,-97.7237709
775,30.2253461,-97.7324983
169,30.2311144,-97.7241938
399,30.2281398,-97.7203472
1037,30.2287064,-97.7233906
1030,30.2273812,-97.719107
501,30.2225924,-97.7123323
796,30.2345938,-97.7330258
879,30.2327526,-97.7305795
1312,30.2390961,-97.7290694
712,30.2302024,-97.7277031
512,30.2338429,-97.7264707
0,30.1998047,-97.6449201
1645,30.221926,-97.6951754
412,30.2340963,-97.6956408
656,30.234071,-97.6902858
608,30.2267801,-97.6955192
1267,30.2249124,-97.7587391
245,30.221263,-97.7528359
739,30.2381013,-97.748289
716,30.2333784,-97.7481133
144,30.2296869,-97.7527029
275,30.2357646,-97.7200114
0,30.2330217,-97.7182491
229,30.2355622,-97.7175168
382,30.2315444,-97.7090379
269,30.2275429,-97.7046691
639,30.2326242,-97.7021236
337,30.2323182,-97.7143954
517,30.244493,-97.7125417
241,30.2419928,-97.6946608
1860,30.237592,-97.7126238
0,30.238862,-97.7065829
935,30.2139103,-97.7609197
496,30.2068841,-97.765919
1479,30.1188725,-97.8161245
2840,30.1463422,-97.811252
1015,30.1362122,-97.8163389
