job_count,lat,lon
6,30.297438,-97.6932826
1,30.2951116,-97.6955001
2,30.2961312,-97.6963692
6,30.2960851,-97.6988649
110,30.2960943,-97.7002111
2,30.2980324,-97.6980844
4,30.2992703,-97.6981882
2,30.2991224,-97.6970303
2,30.2977794,-97.6970864
1,30.2949812,-97.7001717
3,30.2950001,-97.6996354
5,30.2950349,-97.6988024
10,30.2950589,-97.6979916
1,30.2950759,-97.6971721
25,30.2940635,-97.6962954
10,30.2940077,-97.6983557
2,30.2925811,-97.6988541
3,30.2933139,-97.6982681
6,30.2920967,-97.6970843
25,30.2919624,-97.6925272
11,30.2910031,-97.6962699
2,30.2923148,-97.695422
1,30.2921458,-97.6962707
12,30.2906871,-97.6981926
1,30.2993242,-97.7008176
12,30.2993005,-97.7016492
2,30.2992802,-97.7024567
1,30.2979735,-97.7024119
2,30.297991,-97.7016064
2,30.298017,-97.7007895
34,30.2969566,-97.7015744
7,30.2949464,-97.701506
8,30.2949736,-97.7006936
7,30.2935565,-97.7014266
2,30.2935523,-97.7022184
6,30.2950386,-97.7040323
2,30.2935375,-97.7031332
13,30.2934857,-97.7046804
2,30.2938033,-97.7060974
5,30.2924211,-97.7060163
8,30.2917612,-97.7040572
5,30.2924173,-97.7001776
7,30.2918306,-97.7012299
21,30.2909076,-97.6995394
36,30.2907904,-97.700541
3,30.2907048,-97.7013985
2,30.2905675,-97.7038206
2,30.2909754,-97.7053005
161,30.2893666,-97.702862
22,30.2876869,-97.7034137
68,30.2884607,-97.705739
131,30.2870811,-97.7055734
345,30.3088591,-97.7096199
463,30.3033142,-97.7093276
380,30.3017421,-97.708102
16,30.3001086,-97.7074595
6,30.3010765,-97.7068591
995,30.3035781,-97.7065637
8,30.3058469,-97.7051808
37,30.3044953,-97.7023213
51,30.3016858,-97.70124
851,30.3013639,-97.7043389
45,30.2990256,-97.7059128
9,30.2994134,-97.7034629
16,30.3005948,-97.702761
14,30.3005662,-97.7016947
238,30.2983262,-97.7037333
447,30.2974196,-97.7041925
22,30.2974539,-97.7078161
43,30.2916014,-97.720875
54,30.293562,-97.7196045
5,30.2931865,-97.7188337
32,30.2928446,-97.7181156
8,30.2924918,-97.7174036
29,30.2916639,-97.7145076
5,30.287694,-97.7239578
61,30.2888268,-97.722526
14,30.2896992,-97.7212923
2,30.2912122,-97.7201171
6,30.2908775,-97.7193848
112,30.29054,-97.7186628
6,30.2906397,-97.7168901
6,30.2875713,-97.7206706
5,30.2889934,-97.7197997
9,30.2897728,-97.7175425
1,30.289,-97.7163864
3,30.2883316,-97.7214877
4,30.2871674,-97.7196778
22,30.2857967,-97.7193697
4,30.2881159,-97.7177777
15,30.2856761,-97.7182524
51,30.2865369,-97.7241022
9,30.2863194,-97.7227421
1,30.2859168,-97.7218792
2,30.285185,-97.7220168
39,30.2840313,-97.7216285
21,30.294177,-97.7231151
4,30.2960184,-97.7252304
2,30.2955034,-97.7271404
3,30.2954065,-97.7263802
779,30.291967,-97.7222586
3,30.2938375,-97.7210504
14,30.2902505,-97.7236112
50,30.2910108,-97.7256361
70,30.2924817,-97.7268641
4,30.2923109,-97.7238565
1,30.2918468,-97.7253065
16,30.291072,-97.7282511
4,30.2904412,-97.7289347
2,30.2896921,-97.7296465
