id,name,district,total_docks,trips_per_dock,ebs_station,transit_nearby,nearest_transit_stop_dist_m,avg_dist_3_nearest_transit_stops_m,jobs_nearby,housing_nearby,job_housing_ratio_275m,low_income_access_score,amenities_nearby,avg_dist_3_nearest_amenities_m,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,avg_dist_3_nearest_retail_m,entertainment_nearby,avg_dist_3_nearest_entertainment_m,tourism_nearby,avg_dist_3_nearest_tourism_m,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,is_ut,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,ut_x_dorm_pop_500m,ut_x_dining_dist,ut_x_transit,ut_x_housing,lat,lon
73,south_congress_james,9,7,222.28571428571428,0,2,83.17,189.85,1157.0,3776,0.3064088983050847,1.0,4,119.2,0,3404247.68,3.0,19,29.26,9,41.35,0,1068.78,177.62,2.0,5.0,336.54,0,4347.42,4231.68,130.0,0.0,0.0,0.0,0,0,30.25103,-97.74926
39,barton_springs_azie_morton,9,15,221.86666666666667,1,0,530.13,565.22,40.0,1998,0.02002002002002002,1.0,6,107.53,0,3405062.39,2.0,1,273.55,0,628.68,0,468.75,379.74,2.0,4.0,441.65,0,4497.42,4145.88,980.0,0.0,0.0,0.0,0,0,30.261881964956064,-97.76897665654796
69,south_congress_bouldin_creek,9,15,220.8,0,4,53.32,115.12,1790.0,2083,0.8593374939990398,1.0,2,264.48,0,3404705.74,3.0,10,110.21,3,219.89,0,864.19,363.76,3.0,8.0,408.59,0,3807.98,3691.84,130.0,0.0,0.0,0.0,0,0,30.25495,-97.74755
26,e_6th_chalmers,3,11,219.1818181818182,0,6,208.29,218.5,1778.0,3987,0.44594933533985454,3.0,4,178.94,0,3405978.7,2.0,46,31.32,31,31.32,0,860.23,346.08,3.0,7.0,373.89,0,2961.76,2652.3,900.0,0.0,0.0,0.0,0,0,30.26269,-97.72438
32,e_8th_lavaca,9,7,215.57142857142856,0,10,21.91,31.07,10963.0,5374,2.040007443245255,1.0,2,189.25,0,3406464.87,2.0,9,177.57,5,184.55,2,326.53,238.24,4.0,19.0,297.07,0,1809.48,1697.52,980.0,0.0,0.0,0.0,0,0,30.27059,-97.74441
70,south_congress_academy,9,11,189.72727272727272,0,2,34.88,182.22,2124.0,2655,0.8,1.0,6,87.47,0,3404394.82,3.0,13,114.33,6,170.64,0,1003.22,177.62,3.0,7.0,336.85,0,4171.72,4055.22,130.0,0.0,0.0,0.0,0,0,30.25226,-97.74854
33,e_8th_red_river,9,11,186.9090909090909,0,3,159.63,209.87,4001.0,1921,2.0827693909422176,1.0,5,126.8,0,3406389.75,2.0,34,25.05,27,25.05,1,322.82,231.82,4.0,16.0,309.2,0,1864.64,1709.98,130.0,0.0,0.0,0.0,0,0,30.26854,-97.73646
72,south_congress_elizabeth,9,11,178.63636363636363,0,2,44.25,172.73,1294.0,2355,0.5494692144373673,1.0,0,361.6,0,3403999.86,3.0,20,47.97,10,59.24,0,1196.17,292.15,2.0,4.0,428.08,0,4639.38,4523.83,130.0,0.0,0.0,0.0,0,0,30.24891,-97.75019
53,e_6th_chicon,3,11,171.63636363636363,0,3,42.49,97.15,692.0,4314,0.16040797403801577,2.0,8,58.2,0,3405677.61,2.0,5,190.72,4,247.26,0,897.36,62.38,2.0,6.0,344.89,0,3362.46,3056.63,900.0,0.0,0.0,0.0,0,0,30.259718,-97.723198
47,e_2nd_pedernales,3,11,162.0909090909091,0,2,129.92,242.43,197.0,2703,0.072881982981872,3.0,2,223.37,0,3405332.57,2.0,8,145.83,5,203.29,1,373.1,501.7,0.0,4.0,719.47,0,4204.7,3871.93,900.0,0.0,0.0,0.0,0,0,30.25542,-97.71665
6,e_13th_trinity_waterloo_greenway,9,11,154.0909090909091,0,3,187.41,192.72,935.0,1124,0.8318505338078291,1.0,1,326.57,0,3406990.63,3.0,3,77.02,1,309.63,0,554.55,177.74,2.0,9.0,344.72,0,1147.69,995.27,130.0,0.0,0.0,0.0,0,0,30.2741,-97.73666
