name,lat,lon,type
dove_springs_sb_(pleasant_valley_and_stassney),30.193748,-97.744772,bus
village_square_sb_(pleasant_valley_and_village_square),30.188889,-97.745545,bus
6100_pleasant_valley_and_dove_springs,30.185358,-97.745648,bus
6406_pleasant_valley_and_creek_bend,30.182114,-97.746097,bus
6107_pleasant_valley_and_turnstone,30.185198,-97.745196,bus
village_square_nb_(pleasant_valley_and_village_square),30.188891,-97.74529,bus
dove_springs_nb_(pleasant_valley_and_stassney),30.193732,-97.744558,bus
2522_stassney_and_chaparral,30.193919,-97.747016,bus
2408_stassney_and_palo_blanco,30.193714,-97.750685,bus
2008_teri_and_pepper,30.202328,-97.752516,bus
4801_freidrich_and_teri,30.204466,-97.753036,bus
4601_freidrich_and_city_yard,30.208174,-97.750684,bus
4217_freidrich_and_st_elmo,30.211339,-97.748689,bus
4115_freidrich_and_woodward,30.213484,-97.746116,bus
woodward_and_ben_white_se_corner,30.215081,-97.744146,bus
1901_woodward_and_parker,30.219456,-97.743789,bus
3101_parker_and_wickshire,30.224517,-97.742158,bus
2801_parker_and_royal_hill,30.227381,-97.740387,bus
2501_parker_and_braxton,30.230144,-97.7382,bus
2301_parker_and_oltorf,30.232116,-97.736934,bus
2001_burton_and_mariposa,30.233411,-97.731925,bus
burton_and_valley_hill_cir.,30.234059,-97.731309,bus
1801_burton_and_woodland,30.235764,-97.72851,bus
1000_east_riverside_and_travis_heights,30.249906,-97.738594,bus
150_riverside_and_congress,30.255868,-97.74546,bus
2031_san_jacinto_and_21st,30.283104,-97.73391,bus
2525_san_jacinto_and_dean_keeton,30.288776,-97.734397,bus
duval_and_bellevue,30.292127,-97.733917,bus
duval_and_32nd,30.293384,-97.733108,bus
duval_and_harris,30.29591,-97.73149,bus
3717_duval_and_38th,30.298515,-97.729831,bus
4017_duval_and_41st,30.30214,-97.727604,bus
duval_and_park,30.304132,-97.726358,bus
4433_duval_and_45th,30.306896,-97.724576,bus
4533_duval_and_45th,30.308301,-97.723678,bus
4803_duval_and_48th_street,30.311174,-97.721789,bus
duval_and_bruning,30.314435,-97.719695,bus
5613_avenue_f_and_koenig,30.321598,-97.71873,bus
6902_airport_blvd_and_guadalupe,30.334359,-97.717039,bus
guadalupe_and_kennistson,30.334694,-97.716377,bus
7125_guadalupe_and_st_johns,30.337671,-97.714427,bus
7417_guadalupe_and_crestland,30.339996,-97.712898,bus
7601_northcrest_and_prairie_dell,30.340632,-97.708421,bus
georgian_and_red_oak,30.349494,-97.702006,bus
georgian_and_walnut,30.351297,-97.700509,bus
georgian_and_little_walnut,30.353431,-97.698728,bus
georgian_and_home_place,30.356009,-97.696169,bus
9013_georgian_and_fawnridge,30.358122,-97.694809,bus
307_rundberg_and_north_creek,30.360039,-97.692027,bus
7346_lamar_and_sugaree,30.34127,-97.71682,bus
1127_st_johns_and_grand_canyon,30.328322,-97.694846,bus
berkman_and_us_290_nw_corner,30.3223,-97.68924,bus
6208_berkman_and_glen_valley,30.316451,-97.691223,bus
5810_berkman_and_sweetbriar,30.312311,-97.693666,bus
berkman_and_cloverleaf,30.309342,-97.695539,bus
4612_springdale_and_touchstone,30.289603,-97.680296,bus
4300_springdale_and_martin_luther_king,30.286134,-97.682608,bus
springdale_and_oak_cliff,30.285006,-97.683281,bus
springdale_and_glomar,30.281879,-97.685305,bus
1200_springdale_and_12th,30.279234,-97.686965,bus
1150_springdale_and_webberville,30.276735,-97.688489,bus
1106_springdale_and_ledesma,30.274303,-97.69009,bus
1050_springdale_and_prock,30.270901,-97.692225,bus
1018_springdale_and_goodwin,30.267579,-97.694349,bus
3600_govalle_and_gunter,30.265076,-97.699351,bus
3200_govalle_and_tillery,30.26602,-97.70202,bus
govalle_and_webberville,30.26774,-97.706989,bus
850_pleasant_valley_and_webberville,30.26517,-97.708825,bus
820_pleasant_valley_and_lyons,30.263658,-97.708344,bus
7th_street_sb_(pleasant_valley_and_7th),30.259748,-97.709736,bus
