name,docks,bikeable_infrastructure,trips,lat,lon,trips_per_dock,nearest_dining_hall_m,nearest_amenity_m,nearest_park_m,count_amenities_275m,avg_dist_3_amenities_m,park_area_within_275m,park_area_within_550m
w_16th_san_antonio,11,2.0,4185,30.27941719277451,-97.74371821617328,380.45454545454544,773.2763780626806,141.02803466544012,469.89276843512783,5,184.92389445223347,0.0,7903.035271272207
w_21st_guadalupe,11,3.0,21626,30.283985,-97.74198,1966.0,506.45769657699043,51.54577247951919,871.1585221748392,19,59.137809305661136,0.0,0.0
w_21st_university,19,3.0,25314,30.283535,-97.73953,1332.3157894736842,265.9471449576826,65.18331054753669,899.3447486905479,10,93.20646568114005,0.0,0.0
w_225_rio_grande,5,3.0,12942,30.28617,-97.745201,2588.4,709.9173172140984,83.24865192031746,645.6517436127667,21,102.02919907288597,0.0,0.0
w_22nd_pearl,23,3.0,24429,30.285384,-97.746661,1062.1304347826087,872.6912806060274,148.80631841848577,541.370620248068,18,168.0609004814375,0.0,575.6043155249369
w_23rd_san_gabriel,11,3.0,27560,30.287119781194694,-97.74793884604874,2505.454545454545,869.415428098658,134.38635931655685,364.2576712023919,11,159.68954145275222,0.0,47279.94569431496
w_26th_nueces,13,3.0,32920,30.290682,-97.742902,2532.3076923076924,300.2944860217314,52.49423969396123,387.55072842300365,11,66.53011557537334,0.0,38448.88081534963
w_28th_rio_grande,7,3.0,23098,30.293155,-97.744154,3299.714285714286,512.525976024004,81.374554499431,213.60032318516105,8,150.45659730141057,10559.804299332276,98771.14246573567
w_2nd_lavaca_at_city_hall,19,3.0,6136,30.26476,-97.746728,322.94736842105266,2240.614064254124,47.05766227566516,94.6761625061729,11,82.42753006610641,20855.898911367858,129319.80393607248
w_3rd_nueces,11,3.0,6744,30.266972,-97.749462,613.0909090909091,2156.7595055667493,62.235763197099416,70.55469502702341,15,76.44490060905738,27909.501295799506,133999.99417859523
w_3rd_west,11,3.0,7381,30.267756,-97.751763,671.0,2221.221980483056,91.92951628850572,76.807462566535,11,139.39281423210787,27036.287530879352,140762.36774684404
w_4th_congress,15,3.0,5405,30.266343,-97.743817,360.3333333333333,1970.6076788641958,52.218644147716965,331.13785806796835,9,113.86969553883151,0.0,41776.370143735876
w_5th_bowie,15,3.0,6551,30.26921,-97.753495,436.73333333333335,2217.386204333418,47.591353125773026,79.4333832827638,10,60.39226313906522,8852.099303922974,128818.39861759447
w_5th_campbell,15,3.0,3776,30.274782,-97.764786,251.7333333333333,2836.868502823984,77.73717502860568,265.89715306454906,17,89.03993888013356,83.30886690698222,116899.10321081446
w_7th_congress_(w_6th_congress),17,3.0,7929,30.268310763977247,-97.74287793292342,466.4117647058824,1734.1927894629414,118.82491710402904,378.92529061435886,5,150.60017265433396,0.0,20873.083629783956
w_6th_lavaca,7,2.0,1816,30.268949,-97.745223,259.42857142857144,1758.8045390815787,148.18274426434337,182.30631534618357,9,168.0522973784939,6369.3171992272455,20452.19239479804
w_6th_west,15,2.0,2286,30.270466,-97.750461,152.4,1913.009779833845,119.29222107155613,72.12650498737928,7,149.73433335452702,16632.458014532283,70464.46391829345
w_8th_congress,11,3.0,2804,30.269793,-97.742239,254.9090909090909,1558.3439579154137,82.76251051598511,247.97124804503665,4,111.34797288623611,1180.20624818892,16524.021694086547
w_9th_henderson,11,2.0,3415,30.272176,-97.752456,310.45454545454544,1924.6510678539748,135.7599676272297,83.01415270173088,2,202.62258485148033,30047.98915234788,49690.6271448715
zilker_park,15,3.0,3939,30.265882,-97.768312,262.6,3573.6513438030092,286.772044595373,0.0,0,306.4200327139788,237201.47959757646,771472.1120251905
