name,lat,lon,type
Walter Davis Senior Young Adult Center,30.280072,-97.7179713,amenity_community_centre
,30.2710836,-97.7080173,leisure_pitch
,30.2711833,-97.7079468,leisure_pitch
,30.2710379,-97.7078954,leisure_pitch
City of Austin Municipal Court,30.2013892,-97.7040702,amenity_courthouse
,30.2473843,-97.7313175,leisure_fitness_centre
AMLI South Shore fitness center,30.2451193,-97.7302228,leisure_fitness_centre
FastMed Urgent Care,30.242912,-97.72858,amenity_clinic
The UPS Store,30.2428376,-97.7285213,amenity_post_office
Planet Fitness,30.2345214,-97.720654,leisure_fitness_centre
,30.4787664,-97.6145142,leisure_pitch
,30.4786458,-97.6146379,leisure_pitch
,30.4787211,-97.6143807,leisure_pitch
Federal Comp & Wellness - Federal Workers Compensation Doctor Clinic,30.4789061,-97.6157883,amenity_clinic
Curves Wells Branch,30.4505739,-97.6945969,leisure_fitness_centre
"Doctor Tony Dang, MD",30.3843298,-97.6926121,amenity_clinic
Auro Pharmacy,30.3842471,-97.6926623,amenity_pharmacy
,30.2792641,-97.8353983,leisure_pitch
Barre3,30.298801,-97.7044293,leisure_fitness_centre
Orangetheory Fitness,30.2989128,-97.7043519,leisure_fitness_centre
My Vinyasa Practice,30.3251178,-97.7152592,leisure_fitness_centre
Ashtanga Yoga Austin,30.2987668,-97.701392,leisure_fitness_centre
CVS Pharmacy,30.2329525,-97.7914698,amenity_pharmacy
CVS Pharmacy,30.2835484,-97.7416015,amenity_pharmacy
CVS Pharmacy,30.1626283,-97.7937692,amenity_pharmacy
CVS Pharmacy,30.2337914,-97.8287143,amenity_pharmacy
CVS Pharmacy,30.4669122,-97.5987168,amenity_pharmacy
,30.2617278,-97.7552685,leisure_pitch
,30.261716,-97.7552327,leisure_pitch
Total Men's Primary Care,30.270474,-97.7416678,amenity_clinic
Passport Health Austin Travel Clinic,30.3029562,-97.7398338,amenity_clinic
Passport Health Austin - Spicewood Travel Clinic,30.3738754,-97.7598391,amenity_clinic
St. Edward's Police Dpt.,30.232551,-97.7542933,amenity_police
H-E-B Pharmacy,30.2268741,-97.8880649,amenity_pharmacy
Prime Clinic,30.2915385,-97.7285584,amenity_clinic
Rosedale Family Care Partners,30.3241716,-97.740154,amenity_clinic
CHARM Center for Healing and Regenerative Medicine,30.3936834,-97.8476749,amenity_clinic
CVS Pharmacy,30.2815094,-97.7749533,amenity_pharmacy
Crux Climbing Center Central,30.3260561,-97.7170815,leisure_sports_centre
Orangetheory Fitness,30.2632106,-97.7305265,leisure_fitness_centre
Austin Bouldering Project Westgate,30.2308597,-97.7992849,leisure_sports_centre
Austin Medical Partners,30.3050898,-97.7439555,amenity_clinic
Crane Center,30.2862791,-97.8138008,amenity_clinic
F45 Training,30.2720758,-97.8006893,leisure_fitness_centre
Bee Cave Public Library,30.3085389,-97.9398508,amenity_library
Passport Health Austin - Westlake Travel Clinic,30.2713733,-97.8187129,amenity_clinic
,30.3424126,-97.7123588,leisure_pitch
Black Swan Yoga,30.351352,-97.7215105,leisure_fitness_centre
Virginia L Brown (St John) Community Center,30.3325532,-97.6934284,amenity_community_centre
Austin Public Library - St. John Branch,30.332052,-97.6937228,amenity_library
Longhorn Dermatology,30.3384748,-98.0274394,amenity_clinic
FastMed Urgent Care,30.3403801,-97.9674403,amenity_clinic
Ku Mana Crossfit,30.3835986,-97.9404185,leisure_fitness_centre
The Ocean Lab,30.2916334,-97.723422,leisure_fitness_centre
Mia Aesthetics,30.3382063,-97.7181531,amenity_clinic
Sweat440,30.3257524,-97.7150593,leisure_fitness_centre
United States Post Office,30.2781962,-97.7374993,amenity_post_office
StretchLab,30.3012791,-97.7032292,leisure_fitness_centre
Total Fitness Kickboxing,30.2154071,-97.8339312,leisure_fitness_centre
Fixed By Fitness,30.2152825,-97.8338881,leisure_fitness_centre
Orangetheory Fitness,30.2551532,-97.7622588,leisure_fitness_centre
B Pilates,30.2153289,-97.8339027,leisure_fitness_centre
H-E-B Pharmacy,30.2830303,-97.7760533,amenity_pharmacy
NextCare Urgent Care,30.2284636,-97.8634587,amenity_clinic
Body Collective,30.3233272,-97.7270069,leisure_fitness_centre
Manduu,30.3406232,-97.9671025,leisure_fitness_centre
Randalls Pharmacy,30.3412755,-97.9665895,amenity_pharmacy
Pure Barre,30.3375252,-97.9705125,leisure_fitness_centre
Atelier Dojo,30.2521665,-97.7027297,amenity_arts_centre
Crunch Fitness,30.3377729,-97.9713792,leisure_fitness_centre
Texas Oncology,30.3388599,-97.9712449,amenity_clinic
CVS Pharmacy,30.2861246,-97.7053803,amenity_pharmacy
Walgreens,30.2728314,-97.6987304,amenity_pharmacy
Kind Clinic,30.2293363,-97.7449459,amenity_clinic
Vik Complete Care Emergency Room,30.30052,-97.838254,amenity_clinic
Ascension Medical Group Seton Women’s Health,30.3008125,-97.8387156,amenity_clinic
The Hills Dental Spa,30.3005404,-97.8381181,amenity_clinic
The Optometry Center for Vision Therapy,30.3004356,-97.8381158,amenity_clinic
The UPS Store,30.2215527,-97.8411063,amenity_post_office
The Hospital at Westlake Medical Center,30.2958856,-97.826026,amenity_hospital
Wild Heart Yoga,30.2945795,-97.8240079,leisure_fitness_centre
Mesa Rim Austin,30.3430109,-97.6854227,leisure_sports_centre
,30.3442097,-97.7100411,leisure_pitch
Orangetheory Fitness,30.3991858,-97.745105,leisure_fitness_centre
Falconhead Surgery Center,30.3220238,-97.9580687,amenity_clinic
,30.2937566,-97.5544074,leisure_pitch
,30.2935617,-97.5543944,leisure_pitch
,30.3950024,-97.7524826,amenity_clinic
Lift ATX,30.2653337,-97.6944632,leisure_fitness_centre
Baylor Scott And White Medical Center - Lakeway,30.3330267,-97.9716131,amenity_hospital
Atheist Community of Austin,30.3314128,-97.7330787,amenity_community_centre
,30.1370442,-97.7802891,leisure_swimming_pool
,30.1372679,-97.7800598,leisure_swimming_pool
,30.1367798,-97.7800744,leisure_swimming_pool
Ray Harryhausen Memorial,30.1351165,-97.7789695,leisure_swimming_pool
,30.1362993,-97.7796587,leisure_swimming_pool
CVS Pharmacy,30.4686105,-97.5886061,amenity_pharmacy
Austin Regional Clinic,30.467603,-97.5882292,amenity_clinic
Black Sheep Boxing,30.4077099,-97.6985547,leisure_fitness_centre
Big Tex Gym,30.4076158,-97.6979769,leisure_fitness_centre
UltraPersonal Healthcare,30.3105503,-97.7420762,amenity_clinic
,30.1575033,-97.6434161,leisure_pitch
,30.1576025,-97.6433551,leisure_pitch
Metrix Pharmacy,30.4155219,-97.6968499,amenity_pharmacy
Postal Annex,30.4417011,-97.7450477,amenity_post_office
FedEx Print & Ship Center,30.274466,-97.7995201,amenity_post_office
The UPS Store,30.2744922,-97.8015455,amenity_post_office
Austin Regional Clinic,30.3498602,-97.5541122,amenity_clinic
CVS Pharmacy,30.4354866,-97.6839312,amenity_pharmacy
The UPS Store,30.4354166,-97.6740965,amenity_post_office
Integral Care,30.3566509,-97.6867012,amenity_clinic
Clinica Hispana Rundberg,30.3563348,-97.6874709,amenity_clinic
LA Fitness,30.355234,-97.7274603,leisure_fitness_centre
CrossFit Strength Haven,30.3689714,-97.6771731,leisure_fitness_centre
Planet Fitness,30.1903693,-97.7679729,leisure_fitness_centre
Crossfit 3 Strands,30.4656431,-97.6255441,leisure_fitness_centre
Fighting Fit Kickboxing & Jiu Jitsu,30.4352468,-97.6742861,leisure_fitness_centre
Pilates Movement Studio,30.2742602,-97.7992642,leisure_fitness_centre
Mail Center USA,30.2747681,-97.7992824,amenity_post_office
Carbon Health Urgent Care,30.2758943,-97.799414,amenity_clinic
Orangetheory Fitness,30.2757174,-97.8003334,leisure_fitness_centre
Ninja Nation,30.3331191,-97.7226572,leisure_fitness_centre
F45 Training,30.3662875,-97.7408665,leisure_fitness_centre
One Medical,30.2988575,-97.7047713,amenity_clinic
Anytime Fitness,30.3006009,-97.7391215,leisure_fitness_centre
Passport Health South Austin Travel Clinic,30.2171818,-97.7432697,amenity_clinic
Costco Pharmacy,30.3966575,-97.7437573,amenity_pharmacy
,30.275433,-97.7650811,leisure_fitness_centre
Lamar Plaza Drug Store,30.2520686,-97.7637827,amenity_pharmacy
,30.1627494,-97.7209256,leisure_pitch
Anytime Fitness,30.4814186,-97.9754132,leisure_fitness_centre
CorePower Yoga,30.2983374,-97.7058796,leisure_fitness_centre
H-E-B Pharmacy,30.2391792,-97.7549059,amenity_pharmacy
Raw Power Gym,30.3455119,-98.047893,leisure_fitness_centre
30 Minute Hit,30.2975582,-97.7416063,leisure_fitness_centre
CVS Pharmacy,30.2674506,-97.7436121,amenity_pharmacy
The UPS Store,30.2741728,-97.7433375,amenity_post_office
The UPS Store,30.3530716,-97.715697,amenity_post_office
,30.4754966,-97.9731484,amenity_fire_station
The UPS Store,30.2651155,-97.7383559,amenity_post_office
